codigo,nome,cidade,estado,população,popAte9,popDe10a14,popDe15a19,popDe20a24,popDe25a34,popDe35a49,popDe50a59,popMaisDe60,domiciliosA1,domiciliosA2,domiciliosB1,domiciliosB2,domiciliosC1,domiciliosC2,domiciliosD,domiciliosE,rendaMedia,faturamento,potencial
3304557060,Abolição,Rio de Janeiro,RJ,11676.0,1027.0,483.0,688.0,800.0,1675.0,2300.0,1784.0,2919.0,0.0,145.0,715.0,1242.0,1093.0,758.0,92.0,304.0,2501.0,932515.0,Médio
3304557138,Acari,Rio de Janeiro,RJ,27564.0,5131.0,2188.0,2697.0,2630.0,4810.0,5308.0,2403.0,2397.0,0.0,0.0,82.0,506.0,2040.0,2490.0,827.0,2506.0,931.0,588833.0,Baixo
3304557057,Água Santa,Rio de Janeiro,RJ,9003.0,883.0,399.0,597.0,762.0,1755.0,2076.0,1112.0,1419.0,0.0,96.0,404.0,652.0,644.0,522.0,77.0,254.0,2391.0,874200.0,Baixo
3304557031,Alto Da Boa Vista,Rio de Janeiro,RJ,9606.0,1072.0,538.0,660.0,685.0,1317.0,2007.0,1341.0,1986.0,114.0,178.0,393.0,517.0,945.0,584.0,137.0,286.0,3727.0,912226.0,Médio
3304557125,Anchieta,Rio de Janeiro,RJ,57222.0,7677.0,3774.0,4892.0,4600.0,8660.0,12272.0,7157.0,8190.0,0.0,0.0,1089.0,2821.0,5110.0,5422.0,1073.0,3261.0,1380.0,553020.0,Médio
3304557034,Andaraí,Rio de Janeiro,RJ,40476.0,3528.0,1703.0,2564.0,2753.0,5993.0,8071.0,6022.0,9842.0,290.0,1245.0,3647.0,3321.0,3289.0,2419.0,304.0,1059.0,3443.0,1204467.0,Alto
3304557082,Anil,Rio de Janeiro,RJ,24855.0,2427.0,1227.0,1777.0,1804.0,3730.0,5573.0,3556.0,4761.0,355.0,759.0,1771.0,1863.0,1902.0,1155.0,326.0,424.0,3900.123042505593,1092081.0,Baixo
3304557115,Bancários,Rio de Janeiro,RJ,12864.0,1532.0,670.0,963.0,1076.0,2083.0,2829.0,1598.0,2113.0,0.0,82.0,491.0,750.0,1313.0,1177.0,172.0,352.0,1962.0,808554.0,Baixo
3304557099,Bangu,Rio de Janeiro,RJ,249987.0,32651.0,15949.0,20926.0,20146.0,37750.0,53090.0,31246.0,38229.0,0.0,496.0,5246.0,13274.0,24363.0,22447.0,4564.0,11109.0,1550.0,35465.0,Alto
3304557131,Barra Da Tijuca,Rio de Janeiro,RJ,139761.0,13038.0,5225.0,7432.0,8627.0,21914.0,32089.0,21058.0,30378.0,13408.0,11668.0,14820.0,5205.0,3437.0,1841.0,0.0,3897.0,18084.0,2915612.0,Alto
3304557143,Barra De Guaratiba,Rio de Janeiro,RJ,3678.0,384.0,205.0,306.0,297.0,520.0,824.0,501.0,641.0,0.0,0.0,92.0,220.0,360.0,225.0,76.0,270.0,1479.0,846531.0,Baixo
3304557139,Barros Filho,Rio de Janeiro,RJ,14446.0,2013.0,966.0,1283.0,1109.0,2137.0,3210.0,1726.0,2002.0,0.0,0.0,57.0,310.0,1243.0,1181.0,368.0,1711.0,895.0,746904.0,Baixo
3304557028,Benfica,Rio de Janeiro,RJ,25789.0,3340.0,1524.0,1848.0,2213.0,4614.0,5612.0,2905.0,3733.0,0.0,0.0,250.0,1250.0,2460.0,2430.0,414.0,1447.0,1294.0,662520.0,Baixo
3304557079,Bento Ribeiro,Rio de Janeiro,RJ,44941.0,4477.0,2275.0,3191.0,3198.0,6325.0,9378.0,6333.0,9764.0,0.0,353.0,1897.0,3213.0,4450.0,3726.0,521.0,1630.0,2048.0,856901.0,Alto
3304557037,Bonsucesso,Rio de Janeiro,RJ,19237.0,1795.0,854.0,1292.0,1347.0,2814.0,3917.0,2698.0,4520.0,0.0,0.0,957.0,1413.0,2519.0,1318.0,187.0,692.0,1944.0,851362.0,Médio
3304557014,Botafogo,Rio de Janeiro,RJ,85229.0,6278.0,2608.0,4410.0,5911.0,14697.0,18262.0,12026.0,21037.0,3669.0,5165.0,11669.0,6106.0,5289.0,3009.0,371.0,1853.0,8316.0,2211985.0,Alto
3304557042,Brás De Pina,Rio de Janeiro,RJ,60893.0,6812.0,3350.0,4778.0,4801.0,9037.0,12955.0,7746.0,11414.0,0.0,494.0,1716.0,3817.0,6026.0,4216.0,610.0,3385.0,1874.0,755073.0,Alto
3304557055,Cachambi,Rio de Janeiro,RJ,43591.0,3815.0,1905.0,2580.0,2874.0,6564.0,9626.0,6261.0,9966.0,146.0,690.0,3812.0,3957.0,3659.0,1882.0,233.0,1575.0,2963.0,1182272.0,Alto
3304557111,Cacuia,Rio de Janeiro,RJ,11325.0,1256.0,588.0,817.0,811.0,1775.0,2533.0,1456.0,2089.0,0.0,71.0,473.0,903.0,1161.0,712.0,120.0,558.0,2022.0,852714.0,Baixo
3304557004,Caju,Rio de Janeiro,RJ,21055.0,3368.0,1441.0,1771.0,2131.0,3565.0,4362.0,1927.0,2490.0,0.0,0.0,115.0,548.0,1956.0,2022.0,424.0,1810.0,1037.0,635348.0,Baixo
3304557132,Camorim,Rio de Janeiro,RJ,2025.0,282.0,120.0,155.0,175.0,460.0,452.0,207.0,174.0,4.0,52.0,144.0,104.0,132.0,132.0,35.0,92.0,2929.0,876113.0,Baixo
3304557068,Campinho,Rio de Janeiro,RJ,10441.0,1180.0,559.0,743.0,717.0,1608.0,2227.0,1294.0,2113.0,0.0,111.0,652.0,749.0,958.0,681.0,106.0,419.0,2377.0,878140.0,Baixo
3304557094,Campo Dos Afonsos,Rio de Janeiro,RJ,1403.0,208.0,125.0,166.0,103.0,125.0,570.0,72.0,34.0,0.0,114.0,168.0,88.0,24.0,3.0,0.0,2.0,5876.0,935061.0,Médio
3304557102,Campo Grande,Rio de Janeiro,RJ,667603.0,122578.0,55935.0,62342.0,60567.0,86116.0,105316.0,83341.0,91408.0,0.0,1389.0,11747.0,21237.0,33111.0,25779.0,4956.0,12944.0,1856.0,69645.0,Alto
3304557072,Cascadura,Rio de Janeiro,RJ,35428.0,4212.0,1958.0,2634.0,2594.0,5242.0,7111.0,4647.0,7030.0,0.0,65.0,1367.0,2356.0,3513.0,3015.0,513.0,1278.0,1796.0,796395.0,Médio
3304557012,Catete,Rio de Janeiro,RJ,24737.0,1926.0,858.0,1295.0,1659.0,4173.0,5182.0,3284.0,6360.0,345.0,845.0,2599.0,2474.0,2581.0,1265.0,162.0,771.0,4283.0,1073403.0,Alto
3304557005,Catumbi,Rio de Janeiro,RJ,12910.0,1773.0,805.0,1018.0,999.0,1985.0,2526.0,1516.0,2288.0,0.0,18.0,261.0,640.0,1281.0,1140.0,229.0,703.0,3900.123042505593,791170.0,Baixo
3304557070,Cavalcanti,Rio de Janeiro,RJ,16597.0,2079.0,1011.0,1299.0,1273.0,2411.0,3502.0,1998.0,3024.0,0.0,0.0,335.0,988.0,1755.0,1384.0,329.0,794.0,1499.0,774667.0,Baixo
3304557001,Centro,Rio de Janeiro,RJ,42277.0,2685.0,1274.0,2031.0,2895.0,7217.0,9362.0,6334.0,10479.0,0.0,343.0,3014.0,5061.0,6387.0,3628.0,693.0,1684.0,2186.0,825608.0,Alto
3304557084,Cidade De Deus,Rio de Janeiro,RJ,37544.0,5893.0,2710.0,3486.0,3170.0,5628.0,8115.0,3712.0,4830.0,0.0,0.0,304.0,1607.0,3368.0,4180.0,732.0,1887.0,1244.0,488021.0,Baixo
3304557007,Cidade Nova,Rio de Janeiro,RJ,5621.0,664.0,303.0,411.0,421.0,961.0,1143.0,728.0,990.0,0.0,18.0,203.0,381.0,674.0,477.0,72.0,221.0,1809.0,837355.0,Baixo
3304557123,Cidade Universitária,Rio de Janeiro,RJ,1442.0,181.0,112.0,143.0,124.0,202.0,374.0,151.0,155.0,0.0,3.0,45.0,146.0,159.0,64.0,8.0,23.0,1934.0,855182.0,Baixo
3304557114,Cocotá,Rio de Janeiro,RJ,5012.0,382.0,218.0,282.0,345.0,759.0,1042.0,769.0,1215.0,0.0,113.0,374.0,447.0,467.0,257.0,27.0,124.0,2927.0,912281.0,Baixo
3304557137,Coelho Neto,Rio de Janeiro,RJ,33338.0,3923.0,1966.0,2517.0,2280.0,4796.0,7294.0,4280.0,6282.0,0.0,0.0,488.0,2295.0,3573.0,2820.0,470.0,2044.0,1425.0,702967.0,Baixo
3304557067,Colégio,Rio de Janeiro,RJ,30071.0,4181.0,1904.0,2330.0,2467.0,4745.0,6445.0,3647.0,4352.0,0.0,0.0,248.0,1379.0,2845.0,3259.0,562.0,1738.0,1221.0,621314.0,Baixo
3304557157,Complexo Do Alemão,Rio de Janeiro,RJ,71095.0,11784.0,5186.0,6566.0,6735.0,12449.0,14892.0,6445.0,7038.0,0.0,0.0,288.0,1894.0,5421.0,7929.0,1768.0,5013.0,1010.0,88790.0,Médio
3304557018,Copacabana,Rio de Janeiro,RJ,150524.0,8562.0,3727.0,6383.0,9168.0,21814.0,27567.0,21858.0,51445.0,5740.0,9218.0,19350.0,13160.0,10982.0,5482.0,998.0,5122.0,7381.0,2384494.0,Alto
3304557043,Cordovil,Rio de Janeiro,RJ,46478.0,5729.0,2893.0,3768.0,3850.0,7146.0,9369.0,5598.0,8125.0,0.0,0.0,1047.0,2433.0,4599.0,4053.0,723.0,2601.0,1480.0,645088.0,Médio
3304557013,Cosme Velho,Rio de Janeiro,RJ,7380.0,837.0,401.0,525.0,563.0,1073.0,1511.0,1034.0,1436.0,291.0,334.0,526.0,287.0,361.0,438.0,75.0,187.0,8425.0,1041359.0,Médio
3304557105,Cosmos,Rio de Janeiro,RJ,79116.0,11524.0,5711.0,7144.0,6478.0,12238.0,17705.0,8477.0,9839.0,0.0,0.0,1032.0,3321.0,7860.0,7050.0,1914.0,4347.0,1308.0,219983.0,Médio
3304557140,Costa Barros,Rio de Janeiro,RJ,29244.0,5092.0,2300.0,2869.0,2493.0,4594.0,5959.0,2937.0,3000.0,0.0,0.0,123.0,631.0,2252.0,2624.0,632.0,2940.0,925.0,607957.0,Baixo
3304557085,Curicica,Rio de Janeiro,RJ,32069.0,3979.0,1912.0,2679.0,2492.0,5034.0,7247.0,3936.0,4790.0,0.0,117.0,1009.0,2342.0,3345.0,2339.0,511.0,1041.0,1892.0,748387.0,Médio
3304557148,Del Castilho,Rio de Janeiro,RJ,16051.0,1740.0,831.0,1140.0,1182.0,2496.0,3231.0,2052.0,3379.0,0.0,80.0,588.0,1118.0,1481.0,1243.0,166.0,828.0,1889.0,846146.0,Baixo
3304557092,Deodoro,Rio de Janeiro,RJ,11148.0,1512.0,818.0,956.0,831.0,1594.0,2339.0,1391.0,1707.0,0.0,11.0,203.0,511.0,916.0,962.0,177.0,712.0,1416.0,808624.0,Baixo
3304557058,Encantado,Rio de Janeiro,RJ,15445.0,1463.0,756.0,1053.0,1177.0,2272.0,3206.0,2197.0,3321.0,0.0,169.0,797.0,1483.0,1418.0,949.0,167.0,550.0,2342.0,916012.0,Médio
3304557071,Engenheiro Leal,Rio de Janeiro,RJ,6287.0,775.0,379.0,537.0,530.0,997.0,1341.0,782.0,946.0,0.0,0.0,121.0,343.0,627.0,603.0,89.0,216.0,1517.0,818442.0,Baixo
3304557150,Engenho Da Rainha,Rio de Janeiro,RJ,27411.0,3235.0,1634.0,2037.0,1879.0,4404.0,5649.0,3510.0,5063.0,0.0,0.0,839.0,1908.0,2747.0,1885.0,356.0,1746.0,1620.0,805559.0,Médio
3304557056,Engenho De Dentro,Rio de Janeiro,RJ,46584.0,4626.0,2233.0,3107.0,3259.0,6866.0,9607.0,6492.0,10394.0,0.0,572.0,2451.0,3272.0,4174.0,4040.0,384.0,1815.0,2260.0,903559.0,Alto
3304557051,Engenho Novo,Rio de Janeiro,RJ,43362.0,4830.0,2351.0,3163.0,3232.0,6691.0,9332.0,5771.0,7992.0,0.0,549.0,2376.0,3059.0,3959.0,2559.0,498.0,2109.0,2325.0,932007.0,Alto
3304557008,Estácio,Rio de Janeiro,RJ,17675.0,2246.0,980.0,1367.0,1462.0,2861.0,3712.0,2023.0,3024.0,0.0,50.0,538.0,907.0,1760.0,1584.0,310.0,949.0,1631.0,764380.0,Baixo
3304557009,Flamengo,Rio de Janeiro,RJ,51456.0,2612.0,1241.0,2044.0,3049.0,8071.0,9582.0,7426.0,17431.0,3253.0,3648.0,7334.0,4041.0,3677.0,1434.0,184.0,986.0,10619.0,1981817.0,Alto
3304557116,Freguesia (Ilha Do Governador),Rio de Janeiro,RJ,19984.0,2311.0,1124.0,1497.0,1642.0,3320.0,4447.0,2419.0,3224.0,0.0,200.0,931.0,1243.0,1864.0,1815.0,304.0,623.0,2125.0,796321.0,Médio
3304557086,Freguesia (Jacarepaguá),Rio de Janeiro,RJ,72501.0,7991.0,3709.0,5257.0,5159.0,10923.0,16875.0,9607.0,12980.0,698.0,2569.0,6042.0,4941.0,5055.0,3919.0,704.0,1670.0,3900.123042505593,1297388.0,Médio
3304557122,Galeão,Rio de Janeiro,RJ,23620.0,3638.0,1724.0,2411.0,1922.0,3839.0,5685.0,2268.0,2133.0,0.0,85.0,767.0,1083.0,2007.0,2005.0,348.0,979.0,1740.0,684686.0,Médio
3304557002,Gamboa,Rio de Janeiro,RJ,13480.0,1905.0,933.0,1140.0,1233.0,2195.0,2879.0,1491.0,1704.0,0.0,0.0,91.0,480.0,1334.0,1253.0,240.0,1025.0,1133.0,736698.0,Baixo
3304557083,Gardênia Azul,Rio de Janeiro,RJ,18215.0,2493.0,1176.0,1521.0,1667.0,3465.0,4188.0,1868.0,1837.0,32.0,66.0,286.0,788.0,2065.0,2199.0,414.0,540.0,1837.0,641865.0,Baixo
3304557023,Gávea,Rio de Janeiro,RJ,16455.0,1210.0,546.0,869.0,1162.0,2518.0,3307.0,2575.0,4268.0,1343.0,1173.0,1766.0,979.0,776.0,457.0,0.0,311.0,16449.0,1430429.0,Alto
3304557160,Gericinó,Rio de Janeiro,RJ,15596.0,455.0,201.0,889.0,3722.0,5714.0,3598.0,665.0,352.0,0.0,0.0,26.0,104.0,204.0,279.0,67.0,149.0,1225.0,757466.0,Baixo
3304557010,Glória,Rio de Janeiro,RJ,9935.0,495.0,254.0,419.0,634.0,1650.0,2046.0,1583.0,2854.0,95.0,326.0,1295.0,1221.0,1218.0,427.0,39.0,187.0,4011.0,1004569.0,Médio
3304557035,Grajaú,Rio de Janeiro,RJ,39762.0,3570.0,1607.0,2310.0,2629.0,5733.0,8312.0,5731.0,9870.0,737.0,1516.0,4647.0,2968.0,2333.0,1740.0,259.0,865.0,6194.0,1409134.0,Alto
3304557136,Grumari,Rio de Janeiro,RJ,173.0,33.0,13.0,22.0,17.0,28.0,38.0,10.0,12.0,0.0,0.0,0.0,0.0,5.0,17.0,8.0,16.0,654.0,835491.0,Baixo
3304557124,Guadalupe,Rio de Janeiro,RJ,48475.0,5665.0,2777.0,3497.0,3435.0,7196.0,10091.0,6361.0,9453.0,0.0,115.0,1257.0,2835.0,4290.0,3527.0,749.0,3968.0,1483.0,779768.0,Médio
3304557142,Guaratiba,Rio de Janeiro,RJ,112994.0,18088.0,8474.0,10307.0,9069.0,18732.0,25269.0,10811.0,12244.0,0.0,0.0,1429.0,4066.0,9306.0,11066.0,2289.0,7258.0,1237.0,69304.0,Médio
3304557145,Higienópolis,Rio de Janeiro,RJ,16177.0,1516.0,748.0,1016.0,1174.0,2488.0,3497.0,2327.0,3411.0,0.0,141.0,857.0,1464.0,1740.0,1030.0,87.0,432.0,2336.0,897049.0,Médio
3304557077,Honório Gurgel,Rio de Janeiro,RJ,22609.0,2916.0,1390.0,1809.0,1664.0,3327.0,4721.0,2767.0,4015.0,0.0,0.0,387.0,1378.0,2120.0,2394.0,427.0,1044.0,1403.0,722087.0,Baixo
3304557016,Humaitá,Rio de Janeiro,RJ,13660.0,911.0,349.0,571.0,787.0,2256.0,2922.0,2237.0,3627.0,799.0,1139.0,2136.0,921.0,564.0,313.0,85.0,204.0,9504.0,1289705.0,Alto
3304557149,Inhaúma,Rio de Janeiro,RJ,46989.0,6423.0,2857.0,3532.0,3436.0,7242.0,9478.0,5728.0,8293.0,0.0,0.0,935.0,2417.0,4077.0,3771.0,849.0,3908.0,1329.0,688001.0,Médio
3304557104,Inhoaíba,Rio de Janeiro,RJ,66391.0,10030.0,4960.0,6307.0,5418.0,10477.0,14243.0,7205.0,7751.0,0.0,0.0,597.0,3086.0,5360.0,6701.0,1278.0,4041.0,1227.0,346884.0,Médio
3304557019,Ipanema,Rio de Janeiro,RJ,43948.0,3061.0,1311.0,1957.0,2395.0,5854.0,8665.0,6344.0,14361.0,4213.0,3432.0,4478.0,2323.0,2141.0,1369.0,117.0,1460.0,17188.0,1962438.0,Alto
3304557066,Irajá,Rio de Janeiro,RJ,99102.0,9633.0,4743.0,6564.0,6855.0,14400.0,20477.0,14384.0,22046.0,0.0,636.0,4874.0,8325.0,10129.0,6948.0,1222.0,3103.0,2140.0,1030856.0,Alto
3304557130,Itanhangá,Rio de Janeiro,RJ,39500.0,6110.0,2450.0,3224.0,3863.0,8203.0,9317.0,3403.0,2930.0,429.0,342.0,971.0,2016.0,4488.0,3625.0,716.0,972.0,4313.0,493011.0,Alto
3304557146,Jacaré,Rio de Janeiro,RJ,9538.0,1326.0,629.0,763.0,712.0,1547.0,1921.0,1108.0,1532.0,0.0,15.0,161.0,492.0,633.0,792.0,197.0,540.0,3900.123042505593,822849.0,Baixo
3304557081,Jacarepaguá,Rio de Janeiro,RJ,161748.0,24961.0,10376.0,13874.0,16321.0,32572.0,35693.0,14500.0,13451.0,422.0,1244.0,3405.0,7984.0,17034.0,15909.0,3178.0,6837.0,2160.0,94671.0,Alto
3304557155,Jacarezinho,Rio de Janeiro,RJ,38908.0,5861.0,2687.0,3451.0,3777.0,6790.0,8163.0,3992.0,4187.0,0.0,0.0,246.0,1113.0,2656.0,3974.0,795.0,3254.0,1023.0,527702.0,Baixo
3304557046,Jardim América,Rio de Janeiro,RJ,25937.0,2647.0,1374.0,1993.0,2311.0,3881.0,5665.0,3468.0,4598.0,0.0,0.0,754.0,1511.0,2494.0,1943.0,433.0,1488.0,1574.0,795412.0,Baixo
3304557022,Jardim Botânico,Rio de Janeiro,RJ,18517.0,1602.0,664.0,945.0,1008.0,2788.0,4135.0,2822.0,4553.0,1641.0,1273.0,1913.0,1108.0,815.0,361.0,0.0,289.0,17984.0,1491476.0,Alto
3304557118,Jardim Carioca,Rio de Janeiro,RJ,25549.0,3007.0,1320.0,1827.0,1992.0,4168.0,5526.0,3316.0,4393.0,0.0,83.0,1325.0,1481.0,2649.0,2172.0,377.0,875.0,1943.0,795430.0,Médio
3304557117,Jardim Guanabara,Rio de Janeiro,RJ,33122.0,2706.0,1327.0,1912.0,2154.0,4899.0,7302.0,4921.0,7901.0,809.0,1824.0,4160.0,2202.0,1529.0,798.0,265.0,393.0,6499.0,1448872.0,Alto
3304557095,Jardim Sulacap,Rio de Janeiro,RJ,13431.0,1379.0,713.0,929.0,847.0,2044.0,3325.0,1837.0,2357.0,0.0,265.0,1278.0,1163.0,983.0,575.0,78.0,313.0,3039.0,959473.0,Médio
3304557129,Joá,Rio de Janeiro,RJ,842.0,61.0,29.0,35.0,46.0,131.0,192.0,132.0,216.0,79.0,59.0,57.0,33.0,7.0,8.0,0.0,20.0,17659.0,1162364.0,Médio
3304557021,Lagoa,Rio de Janeiro,RJ,21795.0,1794.0,708.0,1054.0,1252.0,2943.0,4812.0,3594.0,5638.0,2916.0,2140.0,1931.0,697.0,365.0,306.0,0.0,469.0,63887.0,1775547.0,Alto
3304557011,Laranjeiras,Rio de Janeiro,RJ,46839.0,3463.0,1529.0,2340.0,2814.0,7145.0,9917.0,6877.0,12754.0,2423.0,3297.0,5831.0,3467.0,3029.0,1180.0,118.0,557.0,8980.0,1762798.0,Alto
3304557020,Leblon,Rio de Janeiro,RJ,47342.0,3134.0,1380.0,2131.0,2390.0,6177.0,9519.0,7181.0,15430.0,5423.0,3532.0,5342.0,1863.0,1890.0,917.0,217.0,1595.0,14738.0,2119774.0,Alto
3304557017,Leme,Rio de Janeiro,RJ,15216.0,1100.0,570.0,739.0,961.0,2391.0,2917.0,2080.0,4458.0,815.0,1106.0,1298.0,1009.0,1021.0,615.0,95.0,650.0,8861.0,1184553.0,Alto
3304557052,Lins De Vasconcelos,Rio de Janeiro,RJ,38547.0,4302.0,2053.0,2704.0,2720.0,5787.0,8563.0,4990.0,7428.0,0.0,290.0,2064.0,2382.0,2922.0,2114.0,380.0,2855.0,2038.0,932622.0,Alto
3304557073,Madureira,Rio de Janeiro,RJ,51520.0,5608.0,2812.0,3753.0,3907.0,7548.0,10437.0,7068.0,10387.0,0.0,110.0,1747.0,4124.0,5487.0,3566.0,834.0,2032.0,1848.0,835847.0,Alto
3304557096,Magalhães Bastos,Rio de Janeiro,RJ,25119.0,3040.0,1460.0,2044.0,2038.0,3741.0,5282.0,3311.0,4203.0,0.0,63.0,393.0,1766.0,2544.0,2230.0,357.0,1226.0,1550.0,754735.0,Baixo
3304557027,Mangueira,Rio de Janeiro,RJ,18340.0,3282.0,1427.0,1664.0,1680.0,2925.0,3483.0,1893.0,1986.0,0.0,0.0,99.0,475.0,1268.0,1837.0,380.0,1329.0,1045.0,711591.0,Baixo
3304557036,Manguinhos,Rio de Janeiro,RJ,37180.0,6837.0,3025.0,3364.0,3342.0,6766.0,7832.0,3256.0,2758.0,0.0,0.0,117.0,861.0,3179.0,4128.0,975.0,2007.0,1039.0,404476.0,Baixo
3304557032,Maracanã,Rio de Janeiro,RJ,25969.0,1696.0,843.0,1370.0,1921.0,4020.0,5134.0,4124.0,6861.0,739.0,1695.0,3191.0,1924.0,1522.0,877.0,0.0,497.0,3900.123042505593,1384873.0,Baixo
3304557158,Maré,Rio de Janeiro,RJ,133432.0,22021.0,9536.0,12193.0,12618.0,24528.0,29204.0,11868.0,11464.0,0.0,0.0,640.0,4262.0,12818.0,15295.0,2977.0,8274.0,1107.0,24651.0,Médio
